temp,hum,windspeed,atemp,cnt
0.22,0.35,0.2985,0.2121,61
0.24,0.35,0.2836,0.2121,61
0.26,0.3,0.2836,0.2424,77
0.26,0.3,0.2537,0.2424,72
0.26,0.3,0.2537,0.2424,76
0.24,0.3,0.2239,0.2273,157
0.24,0.32,0.1045,0.2576,157
0.2,0.47,0.0,0.2576,110
0.2,0.47,0.1045,0.2273,52
0.18,0.64,0.1343,0.197,52
0.14,0.69,0.1343,0.1515,20
0.18,0.55,0.1045,0.2121,12
0.16,0.55,0.1045,0.1818,5
0.16,0.59,0.1045,0.1818,2
0.14,0.63,0.1343,0.1515,1
0.14,0.63,0.0896,0.1818,2
0.12,0.68,0.1045,0.1515,4
0.12,0.74,0.1045,0.1515,36
0.12,0.74,0.1343,0.1515,94
0.14,0.69,0.1642,0.1515,179
0.16,0.64,0.2239,0.1515,100
0.16,0.69,0.3284,0.1364,42
0.22,0.51,0.2985,0.2121,57
0.22,0.51,0.1642,0.2273,78
0.24,0.56,0.194,0.2273,97
0.26,0.52,0.2239,0.2576,63
0.28,0.52,0.2537,0.2727,65
0.3,0.49,0.2537,0.2879,83
0.28,0.48,0.2239,0.2727,212
0.26,0.48,0.194,0.2576,182
0.24,0.48,0.1045,0.2576,112
0.24,0.48,0.1045,0.2576,54
0.22,0.64,0.0,0.2727,48
0.22,0.64,0.0896,0.2576,35
0.2,0.69,0.0896,0.2273,11
0.2,0.64,0.0,0.2576,6
0.16,0.74,0.0896,0.197,6
0.16,0.74,0.0896,0.197,2
0.24,0.48,0.2239,0.2273,2
0.22,0.47,0.1642,0.2273,3
0.2,0.47,0.2239,0.197,33
0.18,0.43,0.194,0.1818,88
0.2,0.4,0.2985,0.1818,195
0.22,0.37,0.3284,0.197,115
0.22,0.37,0.3284,0.197,57
0.26,0.33,0.3284,0.2273,46
0.26,0.33,0.3284,0.2273,79
0.28,0.3,0.2985,0.2576,71
0.3,0.28,0.194,0.2879,62
0.3,0.28,0.194,0.2879,62
0.3,0.28,0.0896,0.3182,89
0.24,0.38,0.194,0.2273,190
0.24,0.38,0.1343,0.2424,169
0.24,0.38,0.1045,0.2576,132
0.22,0.47,0.1642,0.2273,89
0.2,0.51,0.194,0.197,43
0.18,0.55,0.1343,0.197,42
0.2,0.47,0.0,0.2576,19
0.18,0.55,0.0,0.2424,11
0.16,0.64,0.0,0.2273,4
0.16,0.64,0.0,0.2273,2
0.16,0.64,0.0896,0.197,1
0.14,0.69,0.0896,0.1818,4
0.14,0.63,0.1045,0.1667,36
0.16,0.59,0.0,0.2273,95
0.16,0.59,0.0,0.2273,219
0.18,0.51,0.0,0.2424,122
0.2,0.47,0.0,0.2576,45
0.22,0.44,0.0896,0.2576,59
0.26,0.35,0.0,0.2879,84
0.26,0.35,0.1045,0.2727,67
0.28,0.36,0.1642,0.2727,70
0.28,0.36,0.0,0.2727,62
0.26,0.38,0.1642,0.2576,86
0.22,0.51,0.1642,0.2273,172
0.22,0.51,0.1343,0.2273,163
0.22,0.55,0.0896,0.2576,112
0.2,0.51,0.1642,0.2121,69
0.22,0.55,0.2239,0.2121,48
0.22,0.51,0.2836,0.2121,52
0.2,0.59,0.194,0.197,23
0.2,0.64,0.194,0.197,17
0.2,0.69,0.2239,0.197,7
0.2,0.69,0.2239,0.197,1
0.2,0.69,0.1343,0.2121,1
0.22,0.55,0.0,0.2727,5
0.2,0.69,0.0,0.2576,34
0.2,0.69,0.1343,0.2121,84
0.2,0.51,0.2537,0.197,210
0.2,0.47,0.2985,0.1818,134
0.22,0.37,0.3284,0.197,63
0.2,0.4,0.2239,0.197,67
0.2,0.37,0.2537,0.197,59
0.2,0.37,0.2836,0.1818,73
0.2,0.4,0.2537,0.197,50
0.2,0.37,0.1642,0.2121,72
0.2,0.37,0.1642,0.2121,87
0.2,0.37,0.0,0.2576,187
0.2,0.4,0.0896,0.2273,123
0.16,0.55,0.0896,0.197,95
0.18,0.47,0.1045,0.2121,51
0.18,0.47,0.1343,0.197,39
0.18,0.43,0.1642,0.197,36
0.18,0.51,0.1642,0.197,15
0.18,0.51,0.1642,0.197,25
0.18,0.55,0.0896,0.2121,16
0.18,0.55,0.0,0.2424,16
0.18,0.55,0.1642,0.197,7
0.18,0.55,0.1642,0.197,1
0.16,0.74,0.1642,0.1667,5
0.16,0.74,0.1642,0.1667,2
0.16,0.74,0.1045,0.1818,9
0.16,0.93,0.1045,0.1818,15
0.16,0.93,0.1045,0.1818,20
0.18,0.8,0.1642,0.197,61
0.2,0.69,0.3881,0.1818,62
0.2,0.59,0.3582,0.1818,98
0.2,0.44,0.3284,0.1818,102
0.2,0.32,0.4925,0.1667,95
0.2,0.32,0.4478,0.1667,74
0.18,0.29,0.4478,0.1364,76
0.16,0.37,0.5522,0.1212,69
0.14,0.39,0.2985,0.1212,55
0.14,0.36,0.2537,0.1212,30
0.12,0.36,0.2537,0.1212,28
0.12,0.39,0.3582,0.1061,37
0.12,0.36,0.3881,0.1061,34
0.1,0.39,0.4478,0.0606,22
0.1,0.42,0.3881,0.0758,25
0.1,0.42,0.4627,0.0606,12
0.1,0.46,0.4627,0.0606,11
0.1,0.46,0.4179,0.0758,4
0.08,0.53,0.194,0.0909,1
0.08,0.53,0.194,0.0909,1
0.1,0.49,0.2836,0.0909,1
0.08,0.53,0.194,0.0909,6
0.1,0.49,0.2836,0.0909,10
0.12,0.46,0.5224,0.0758,19
0.14,0.43,0.3881,0.1061,49
0.16,0.4,0.5224,0.1212,49
0.18,0.37,0.4478,0.1364,83
0.2,0.34,0.4478,0.1667,75
0.22,0.32,0.4627,0.1818,72
0.22,0.35,0.3582,0.197,82
0.2,0.34,0.4478,0.1667,92
0.18,0.37,0.3881,0.1515,62
0.16,0.4,0.3284,0.1364,48
0.16,0.43,0.3284,0.1364,41
0.14,0.46,0.2537,0.1212,38
0.14,0.46,0.4179,0.1061,20
0.14,0.46,0.2985,0.1212,15
0.12,0.5,0.194,0.1364,6
0.12,0.5,0.2836,0.1212,5
0.12,0.5,0.2836,0.1212,1
0.12,0.5,0.2239,0.1212,3
0.12,0.5,0.2239,0.1212,1
0.1,0.54,0.1343,0.1212,3
0.1,0.54,0.2537,0.1061,3
0.12,0.5,0.2836,0.1212,31
0.12,0.5,0.2239,0.1212,77
0.12,0.5,0.2836,0.1212,188
0.14,0.5,0.2537,0.1212,94
0.14,0.5,0.2985,0.1212,31
0.16,0.47,0.2836,0.1364,30
0.2,0.4,0.2836,0.1818,52
0.2,0.4,0.2836,0.1818,54
0.2,0.4,0.2239,0.197,47
0.2,0.4,0.2239,0.197,45
0.2,0.4,0.1343,0.2121,74
0.2,0.4,0.1045,0.2273,178
0.2,0.4,0.2239,0.197,155
0.16,0.47,0.1642,0.1667,95
0.16,0.5,0.1642,0.1667,74
0.14,0.59,0.194,0.1364,38
0.14,0.59,0.1642,0.1515,24
0.14,0.59,0.1642,0.1515,18
0.14,0.59,0.1045,0.1667,12
0.14,0.59,0.1642,0.1515,3
0.16,0.55,0.194,0.1515,3
0.16,0.55,0.1343,0.1818,6
0.16,0.55,0.1343,0.1818,27
0.16,0.55,0.0,0.2273,99
0.18,0.51,0.0896,0.2121,217
0.18,0.51,0.1642,0.197,130
0.2,0.51,0.1642,0.2121,54
0.2,0.47,0.1343,0.2121,35
0.2,0.51,0.1045,0.2273,57
0.2,0.59,0.0896,0.2273,52
0.2,0.59,0.0896,0.2273,63
0.16,0.8,0.0896,0.197,47
0.16,0.86,0.2239,0.1515,76
0.16,0.86,0.2239,0.1515,136
0.16,0.93,0.1045,0.1818,95
0.16,0.93,0.0,0.2273,51
0.16,0.93,0.194,0.1515,32
0.16,0.86,0.0896,0.197,20
0.16,0.93,0.1045,0.1818,29
0.16,0.93,0.0896,0.197,19
0.16,0.86,0.0896,0.197,7
0.16,0.86,0.1045,0.1818,6
0.14,0.86,0.1343,0.1515,1
0.14,0.86,0.1642,0.1515,5
0.12,0.93,0.1343,0.1515,16
0.14,0.69,0.1343,0.1515,54
0.16,0.59,0.1642,0.1667,128
0.16,0.59,0.3284,0.1364,81
0.18,0.55,0.2239,0.1818,39
0.2,0.51,0.3881,0.1818,35
0.2,0.47,0.5821,0.1515,55
0.22,0.44,0.3582,0.197,49
0.2,0.47,0.3284,0.1818,44
0.2,0.47,0.4179,0.1667,49
0.22,0.44,0.3284,0.197,68
0.2,0.47,0.3582,0.1818,139
0.2,0.47,0.5224,0.1515,137
0.18,0.47,0.4179,0.1515,83
0.16,0.5,0.3284,0.1364,56
0.16,0.55,0.3284,0.1364,57
0.16,0.55,0.4478,0.1212,33
0.14,0.59,0.4179,0.1061,20
0.14,0.59,0.2836,0.1212,7
0.14,0.5,0.2836,0.1212,2
0.14,0.5,0.3582,0.1212,2
0.14,0.5,0.3284,0.1212,3
0.14,0.5,0.2537,0.1212,4
0.14,0.5,0.2985,0.1212,3
0.12,0.54,0.1343,0.1515,28
0.12,0.54,0.1343,0.1515,72
0.14,0.5,0.194,0.1364,202
0.14,0.5,0.3284,0.1212,139
0.16,0.5,0.3582,0.1364,38
0.2,0.44,0.4478,0.1667,37
0.2,0.44,0.4179,0.1667,52
0.22,0.41,0.4478,0.197,83
0.22,0.41,0.3881,0.197,42
0.24,0.38,0.2985,0.2121,60
0.24,0.38,0.3582,0.2121,78
0.2,0.4,0.2836,0.1818,162
0.2,0.4,0.3284,0.1818,144
0.16,0.47,0.2537,0.1515,99
0.16,0.47,0.2239,0.1515,64
0.14,0.46,0.2985,0.1212,40
0.14,0.46,0.3284,0.1212,30
0.12,0.5,0.194,0.1364,15
0.12,0.5,0.194,0.1364,14
0.1,0.54,0.1642,0.1212,5
0.1,0.54,0.1343,0.1212,1
0.1,0.54,0.1045,0.1364,1
0.1,0.54,0.0896,0.1364,8
0.1,0.54,0.0,0.1818,17
0.1,0.74,0.1642,0.1212,70
0.12,0.68,0.0,0.1667,158
0.14,0.69,0.1343,0.1515,117
0.18,0.55,0.194,0.1818,44
0.18,0.51,0.2836,0.1667,53
0.2,0.44,0.2537,0.197,61
0.22,0.37,0.3881,0.197,77
0.22,0.41,0.2836,0.2121,64
0.24,0.38,0.1642,0.2424,68
0.22,0.41,0.1045,0.2424,90
0.22,0.41,0.1642,0.2273,159
0.2,0.47,0.0,0.2576,139
0.16,0.59,0.0896,0.197,92
0.18,0.59,0.0,0.2424,68
0.16,0.69,0.0,0.2273,52
0.16,0.69,0.0,0.2273,36
0.18,0.55,0.0,0.2424,27
0.18,0.55,0.0,0.2424,28
0.16,0.59,0.0896,0.197,20
0.16,0.59,0.0896,0.197,12
0.16,0.59,0.0,0.2273,8
0.16,0.59,0.0,0.2273,5
0.16,0.59,0.0,0.2273,1
0.14,0.63,0.1045,0.1667,3
0.14,0.63,0.0,0.2121,10
0.14,0.63,0.1343,0.1515,23
0.16,0.64,0.1343,0.1818,33
0.18,0.59,0.1642,0.197,59
0.2,0.55,0.2239,0.197,72
0.24,0.48,0.2239,0.2273,89
0.28,0.38,0.2985,0.2576,101
0.3,0.39,0.2836,0.2879,118
0.32,0.36,0.194,0.3182,129
0.34,0.34,0.194,0.3333,128
0.32,0.36,0.2836,0.303,83
0.3,0.45,0.2537,0.2879,84
0.32,0.39,0.2537,0.303,74
0.32,0.39,0.2537,0.303,41
0.32,0.39,0.2239,0.303,57
0.3,0.42,0.1045,0.3182,26
0.3,0.45,0.2836,0.2879,44
0.26,0.56,0.0,0.303,39
0.26,0.56,0.1343,0.2727,23
0.26,0.56,0.0896,0.2879,16
0.22,0.69,0.0,0.2727,15
0.26,0.56,0.1642,0.2576,1
0.26,0.56,0.1642,0.2576,2
0.26,0.56,0.1642,0.2576,1
0.24,0.56,0.2985,0.2121,3
0.22,0.55,0.2836,0.2121,18
0.22,0.51,0.2537,0.2121,32
0.22,0.51,0.2836,0.2121,79
0.24,0.44,0.2537,0.2273,93
0.24,0.41,0.2836,0.2121,104
0.26,0.35,0.2985,0.2273,118
0.28,0.36,0.2537,0.2727,91
0.26,0.38,0.2537,0.2424,113
0.24,0.38,0.2239,0.2273,99
0.22,0.37,0.2537,0.2121,105
0.2,0.4,0.1642,0.2121,67
0.18,0.47,0.1343,0.197,61
0.18,0.47,0.1642,0.197,57
0.18,0.51,0.1642,0.197,28
0.2,0.49,0.1343,0.2121,21
0.2,0.4,0.1045,0.2273,18
0.2,0.47,0.2239,0.197,17
0.2,0.44,0.194,0.197,16
0.18,0.43,0.2537,0.1667,8
0.18,0.43,0.194,0.1818,2
0.18,0.43,0.1343,0.197,3
0.18,0.43,0.1642,0.197,1
0.18,0.43,0.194,0.1818,5
0.16,0.5,0.1343,0.1818,13
0.16,0.47,0.2239,0.1515,33
0.16,0.47,0.2239,0.1515,47
0.16,0.5,0.2537,0.1515,57
0.16,0.55,0.194,0.1515,64
0.18,0.47,0.1343,0.197,80
0.18,0.47,0.1343,0.197,93
0.18,0.43,0.1045,0.2121,86
0.2,0.47,0.1642,0.2121,93
0.2,0.47,0.1642,0.2121,82
0.2,0.51,0.194,0.197,71
0.18,0.55,0.2537,0.1667,92
0.18,0.59,0.194,0.1818,60
0.16,0.8,0.194,0.1515,33
0.16,0.8,0.194,0.1515,27
0.14,0.93,0.2537,0.1212,13
0.16,0.86,0.2836,0.1364,4
0.2,0.86,0.3284,0.1818,3
0.2,0.86,0.2239,0.197,22
0.22,0.8,0.1642,0.2273,28
0.22,0.87,0.1642,0.2273,35
0.22,0.87,0.194,0.2273,61
0.22,0.82,0.194,0.2273,125
0.22,0.8,0.1642,0.2273,133
0.22,0.8,0.1343,0.2273,99
0.22,0.87,0.0,0.2727,83
0.22,0.93,0.1045,0.2424,41
0.22,0.93,0.0896,0.2576,33
0.22,0.93,0.0,0.2727,20
0.22,0.93,0.0,0.2727,3
0.22,0.93,0.1343,0.2273,7
0.22,0.93,0.1343,0.2273,3
0.22,0.93,0.1343,0.2273,2
0.22,0.93,0.0896,0.2576,7
0.22,0.93,0.0896,0.2576,32
0.24,0.92,0.1045,0.2576,90
0.24,0.93,0.1045,0.2576,197
0.24,0.93,0.1045,0.2576,109
0.26,0.93,0.1343,0.2727,47
0.28,0.87,0.0896,0.303,52
0.3,0.81,0.0896,0.3182,70
0.4,0.62,0.2836,0.4091,78
0.4,0.58,0.2537,0.4091,75
0.4,0.54,0.2836,0.4091,82
0.38,0.58,0.3881,0.3939,104
0.36,0.57,0.3284,0.3333,197
0.34,0.61,0.2836,0.3182,161
0.32,0.57,0.4179,0.2879,112
0.32,0.49,0.2985,0.303,76
0.32,0.49,0.4179,0.2879,59
0.3,0.52,0.1642,0.303,59
0.3,0.52,0.4627,0.2727,28
0.26,0.56,0.3881,0.2273,13
0.26,0.56,0.0,0.2727,5
0.26,0.56,0.0,0.2727,2
0.26,0.56,0.1642,0.2576,1
0.26,0.56,0.1642,0.2576,1
0.24,0.6,0.2239,0.2273,6
0.22,0.6,0.2239,0.2121,35
0.22,0.55,0.2239,0.2121,101
0.22,0.55,0.2836,0.2121,249
0.24,0.52,0.2239,0.2273,143
0.26,0.48,0.2985,0.2273,57
0.28,0.45,0.1642,0.2727,68
0.3,0.42,0.0,0.3333,84
0.28,0.45,0.1045,0.2879,98
0.3,0.45,0.1343,0.303,81
0.32,0.45,0.194,0.3182,70
0.3,0.49,0.1343,0.303,91
0.3,0.49,0.1045,0.3182,215
0.26,0.56,0.194,0.2576,185
0.26,0.56,0.3284,0.2273,152
0.26,0.6,0.2836,0.2424,126
0.24,0.6,0.2537,0.2273,57
0.24,0.65,0.2836,0.2121,56
0.24,0.65,0.3284,0.2121,31
0.24,0.7,0.2537,0.2273,21
0.24,0.7,0.2537,0.2273,6
0.24,0.75,0.1642,0.2424,2
0.22,0.8,0.2985,0.2121,1
0.22,0.87,0.0896,0.2576,1
0.24,0.6,0.4179,0.197,5
0.22,0.55,0.2537,0.2121,27
0.2,0.51,0.2836,0.1818,68
0.2,0.47,0.3284,0.1818,217
0.2,0.51,0.3582,0.1818,166
0.2,0.47,0.4627,0.1667,63
0.22,0.41,0.4627,0.1818,59
0.22,0.27,0.5821,0.1818,78
0.2,0.21,0.5821,0.1515,73
0.2,0.25,0.5224,0.1515,62
0.16,0.26,0.4478,0.1212,65
0.16,0.26,0.3582,0.1364,97
0.14,0.28,0.3582,0.1212,161
0.12,0.3,0.2537,0.1212,120
0.12,0.3,0.3284,0.1061,96
0.1,0.33,0.4179,0.0758,53
0.08,0.38,0.2836,0.0758,41
0.06,0.41,0.3881,0.0303,34
0.06,0.38,0.3284,0.0455,27
0.04,0.45,0.2537,0.0303,13
0.04,0.41,0.3881,0.0,12
0.04,0.41,0.2537,0.0303,11
0.04,0.41,0.2836,0.0303,7
0.02,0.48,0.2985,0.0152,3
0.02,0.44,0.2239,0.0303,2
0.02,0.44,0.2836,0.0152,8
0.02,0.44,0.3284,0.0,27
0.04,0.41,0.2537,0.0303,40
0.04,0.41,0.1642,0.0606,53
0.06,0.38,0.1343,0.0758,63
0.06,0.38,0.1045,0.1061,70
0.08,0.35,0.0,0.1667,84
0.1,0.33,0.1045,0.1364,75
0.12,0.28,0.0,0.1515,103
0.12,0.28,0.194,0.1364,83
0.12,0.28,0.0,0.197,67
0.08,0.35,0.194,0.0909,54
0.08,0.35,0.1343,0.1061,59
0.06,0.45,0.1642,0.0758,45
0.06,0.41,0.0896,0.1061,39
0.06,0.49,0.0,0.1515,30
0.04,0.57,0.1045,0.0758,33
0.04,0.57,0.1045,0.0758,22
0.04,0.57,0.1045,0.0758,13
0.02,0.62,0.1343,0.0606,18
0.02,0.62,0.1343,0.0606,5
0.04,0.57,0.1045,0.0758,3
0.04,0.57,0.1045,0.0758,1
0.08,0.58,0.1642,0.1061,2
0.06,0.62,0.1642,0.0758,19
0.1,0.54,0.3582,0.0758,28
0.14,0.46,0.3881,0.1061,58
0.14,0.43,0.2239,0.1364,99
0.16,0.37,0.4627,0.1212,116
0.14,0.33,0.3881,0.1061,87
0.16,0.28,0.3582,0.1364,110
0.16,0.28,0.3582,0.1364,77
0.16,0.26,0.3284,0.1364,65
0.14,0.26,0.3881,0.1061,55
0.12,0.3,0.2537,0.1212,49
0.12,0.3,0.2836,0.1212,50
0.1,0.36,0.2537,0.1061,35
0.1,0.36,0.194,0.1061,25
0.08,0.38,0.194,0.0909,28
0.06,0.41,0.2239,0.0606,21
0.06,0.41,0.194,0.0606,7
0.04,0.45,0.194,0.0455,1
0.04,0.45,0.2537,0.0303,1
0.02,0.48,0.1343,0.0606,1
0.02,0.48,0.1343,0.0606,5
0.02,0.48,0.0896,0.0758,15
0.02,0.48,0.0,0.1212,84
0.04,0.49,0.0,0.1364,177
0.06,0.41,0.0,0.1515,102
0.1,0.42,0.0,0.1364,40
0.1,0.46,0.1343,0.1212,46
0.12,0.42,0.194,0.1364,63
0.14,0.43,0.2239,0.1364,60
0.14,0.46,0.2239,0.1364,45
0.16,0.4,0.1642,0.1667,57
0.16,0.47,0.2537,0.1515,70
0.14,0.5,0.2537,0.1212,184
0.14,0.59,0.194,0.1364,153
0.14,0.54,0.1642,0.1515,106
0.14,0.59,0.194,0.1364,81
0.14,0.63,0.1642,0.1515,59
0.14,0.63,0.2239,0.1364,35
0.16,0.64,0.2537,0.1515,24
0.16,0.69,0.2836,0.1364,9
0.16,0.69,0.1642,0.1667,5
0.16,0.69,0.2239,0.1515,2
0.14,0.74,0.1045,0.1667,1
0.14,0.74,0.2239,0.1364,9
0.16,0.74,0.1045,0.1818,36
0.16,0.74,0.2239,0.1515,108
0.16,0.74,0.1343,0.1818,238
0.2,0.64,0.0896,0.2273,144
0.22,0.6,0.1045,0.2424,55
0.24,0.6,0.1343,0.2424,61
0.26,0.56,0.0896,0.2879,106
0.26,0.56,0.1343,0.2727,93
0.3,0.45,0.0,0.3333,68
0.32,0.42,0.0,0.3485,84
0.32,0.42,0.0,0.3485,116
0.3,0.45,0.0,0.3333,222
0.3,0.49,0.0896,0.3182,225
0.26,0.65,0.1642,0.2576,146
0.24,0.65,0.194,0.2273,119
0.24,0.65,0.194,0.2273,45
0.22,0.64,0.1642,0.2273,53
0.22,0.64,0.1642,0.2273,40
0.22,0.69,0.1343,0.2273,17
0.24,0.65,0.1343,0.2424,5
0.22,0.69,0.194,0.2273,10
0.2,0.86,0.2836,0.1818,1
0.2,0.86,0.2836,0.1818,8
0.22,0.87,0.2985,0.2121,30
0.22,0.87,0.2985,0.2121,72
0.22,0.87,0.2985,0.2121,58
0.22,0.93,0.2836,0.2121,28
0.22,0.93,0.3284,0.197,41
0.22,0.93,0.3284,0.197,48
0.22,0.93,0.3284,0.197,47
0.22,0.93,0.3582,0.197,36
0.22,0.93,0.4627,0.1818,43
0.22,0.93,0.3284,0.197,36
0.2,0.93,0.3582,0.1818,26
0.22,0.55,0.194,0.2273,24
0.22,0.55,0.1045,0.2424,84
0.2,0.69,0.0896,0.2273,104
0.2,0.69,0.0896,0.2273,79
0.18,0.74,0.0896,0.2121,59
0.18,0.74,0.0896,0.2121,38
0.18,0.74,0.0896,0.2121,27
0.18,0.8,0.1642,0.197,16
0.2,0.75,0.1343,0.2121,9
0.2,0.75,0.1343,0.2121,3
0.2,0.75,0.1642,0.2121,2
0.2,0.75,0.1045,0.2273,1
0.18,0.8,0.1045,0.2121,4
0.18,0.8,0.1343,0.197,16
0.16,0.86,0.0896,0.197,60
0.16,0.86,0.0896,0.197,157
0.18,0.86,0.0896,0.2121,101
0.18,0.86,0.1045,0.2121,49
0.18,0.93,0.1045,0.2121,30
0.18,0.93,0.1045,0.2121,29
0.18,0.93,0.1045,0.2121,31
0.22,0.8,0.0,0.2727,38
0.2,0.86,0.0,0.2576,41
0.22,0.8,0.0,0.2727,80
0.24,0.75,0.1343,0.2424,149
0.24,0.75,0.194,0.2273,109
0.24,0.75,0.1343,0.2424,89
0.24,0.7,0.194,0.2273,62
0.22,0.75,0.1343,0.2273,58
0.24,0.65,0.3582,0.2121,26
0.24,0.6,0.2239,0.2273,23
0.22,0.64,0.3582,0.197,28
0.22,0.64,0.194,0.2273,20
0.22,0.64,0.1642,0.2273,15
0.2,0.64,0.1343,0.2121,8
0.16,0.69,0.1045,0.1818,3
0.16,0.64,0.1343,0.1818,2
0.16,0.59,0.1045,0.1818,5
0.18,0.55,0.1642,0.197,34
0.18,0.59,0.0896,0.2121,34
0.18,0.64,0.1045,0.2121,55
0.18,0.64,0.1343,0.197,64
0.2,0.59,0.194,0.197,78
0.22,0.55,0.1642,0.2273,65
0.22,0.6,0.1343,0.2273,99
0.22,0.69,0.2537,0.2121,120
0.24,0.6,0.1642,0.2424,107
0.24,0.6,0.0,0.2879,91
0.22,0.69,0.1343,0.2273,68
0.22,0.69,0.2537,0.2121,58
0.18,0.74,0.0896,0.2121,43
0.18,0.74,0.0896,0.2121,36
0.16,0.8,0.0896,0.197,32
0.16,0.8,0.0896,0.197,33
0.16,0.8,0.1045,0.1818,33
0.14,0.8,0.0,0.2121,29
0.16,0.8,0.0,0.2273,11
0.14,0.93,0.0,0.2121,8
0.14,0.93,0.0,0.2121,1
0.14,0.86,0.0,0.2121,3
0.14,0.86,0.0,0.2121,3
0.14,0.86,0.0,0.2121,12
0.16,0.8,0.0,0.2273,38
0.18,0.8,0.0,0.2424,64
0.22,0.75,0.0,0.2727,59
0.3,0.52,0.1045,0.3182,97
0.28,0.61,0.1045,0.2879,84
0.28,0.61,0.0896,0.303,122
0.3,0.56,0.0,0.3333,109
0.3,0.56,0.0,0.3333,123
0.3,0.56,0.194,0.2879,77
0.26,0.65,0.1642,0.2576,65
0.26,0.65,0.194,0.2576,55
0.26,0.65,0.1045,0.2727,33
0.24,0.7,0.1642,0.2424,28
0.24,0.7,0.194,0.2273,21
0.24,0.65,0.2836,0.2121,21
0.24,0.65,0.2239,0.2273,7
0.22,0.64,0.2537,0.2121,7
0.22,0.64,0.194,0.2273,1
0.22,0.64,0.194,0.2273,2
0.2,0.59,0.2239,0.197,2
0.18,0.64,0.2836,0.1667,8
0.16,0.69,0.3284,0.1364,37
0.16,0.64,0.2836,0.1364,72
0.16,0.59,0.2836,0.1364,185
0.16,0.59,0.2985,0.1364,112
0.16,0.59,0.194,0.1515,69
0.16,0.59,0.194,0.1515,48
0.18,0.55,0.1045,0.2121,68
0.16,0.59,0.0,0.2273,54
0.18,0.55,0.1343,0.197,86
0.16,0.59,0.1343,0.1818,44
0.16,0.56,0.194,0.1818,86
0.16,0.59,0.194,0.1515,161
0.16,0.55,0.2239,0.1515,156
0.3,0.61,0.1045,0.3182,111
0.16,0.59,0.1642,0.1667,78
0.16,0.59,0.0896,0.197,56
0.16,0.59,0.1045,0.1818,34
0.16,0.64,0.0896,0.197,17
0.16,0.64,0.1045,0.1818,8
0.16,0.69,0.1045,0.1818,3
0.16,0.69,0.0,0.2273,2
0.16,0.69,0.0,0.2273,2
0.14,0.93,0.0,0.2121,3
0.14,0.93,0.0,0.2121,22
0.16,0.93,0.0,0.2273,52
0.16,0.93,0.0,0.2273,135
0.16,0.93,0.0,0.2273,116
0.16,0.93,0.0,0.2273,47
0.18,0.86,0.0,0.2424,51
0.2,0.86,0.0,0.2576,55
0.2,0.86,0.0,0.2576,52
0.22,0.8,0.0896,0.2576,54
0.24,0.75,0.0,0.2879,52
0.24,0.75,0.1343,0.2424,64
0.24,0.75,0.0,0.2879,176
0.24,0.81,0.1045,0.2576,168
0.24,0.81,0.1343,0.2424,108
0.22,0.87,0.1343,0.2273,74
0.22,0.87,0.1343,0.2273,64
0.22,0.87,0.0896,0.2576,36
